Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2019-11-01 00:00:00+05:30,2015.7575831193699,2033.6331756668576,1998.3472746778384,2029.024658203125,1609685,0.0,0.0,HINDUNILVR.NS
2019-11-04 00:00:00+05:30,2029.0249779592805,2036.0076501564004,2001.513204042523,2009.287109375,1523698,0.0,0.0,HINDUNILVR.NS
2019-11-05 00:00:00+05:30,2004.9575609584488,2025.6728178571373,1995.3213842449327,2022.321044921875,2167085,0.0,0.0,HINDUNILVR.NS
2019-11-06 00:00:00+05:30,2016.5955854059812,2033.3539974730668,2006.3543335872066,2029.1177978515625,1093243,0.0,0.0,HINDUNILVR.NS
2019-11-07 00:00:00+05:30,2038.9403269275033,2038.9403269275033,1981.2169021469074,1990.7598876953125,1970785,0.0,0.0,HINDUNILVR.NS
2019-11-08 00:00:00+05:30,1987.7336379318535,1997.1834282411721,1939.3204533077521,1942.48583984375,1537851,0.0,0.0,HINDUNILVR.NS
2019-11-11 00:00:00+05:30,1937.7377051599738,1955.1943818136867,1925.4016536580166,1937.7843017578125,1050170,0.0,0.0,HINDUNILVR.NS
2019-11-13 00:00:00+05:30,1940.2516388129184,1950.3996970592532,1929.4982793277272,1946.768798828125,868433,0.0,0.0,HINDUNILVR.NS
2019-11-14 00:00:00+05:30,1946.3963504081446,1946.3963504081446,1919.25689949419,1926.332763671875,1291198,0.0,0.0,HINDUNILVR.NS
2019-11-15 00:00:00+05:30,1920.0017019812562,1954.2167886816133,1909.1087810632796,1915.7655029296875,958290,0.0,0.0,HINDUNILVR.NS
2019-11-18 00:00:00+05:30,1917.7207915245137,1932.198241393438,1897.424449208312,1914.3690185546875,1200573,0.0,0.0,HINDUNILVR.NS
2019-11-19 00:00:00+05:30,1917.953750443099,1917.953750443099,1889.9764671321004,1897.19189453125,1413218,0.0,0.0,HINDUNILVR.NS
2019-11-20 00:00:00+05:30,1903.0106730354057,1911.250316037974,1877.9196531147302,1886.7177734375,989673,0.0,0.0,HINDUNILVR.NS
2019-11-21 00:00:00+05:30,1887.183169472559,1917.8603245226354,1877.872941700124,1907.3397216796875,1397175,0.0,0.0,HINDUNILVR.NS
2019-11-22 00:00:00+05:30,1908.5968530912794,1911.5760807677118,1869.4938931742875,1888.440185546875,835864,0.0,0.0,HINDUNILVR.NS
2019-11-25 00:00:00+05:30,1882.6212062713582,1924.3775566784998,1882.6212062713582,1920.141357421875,862520,0.0,0.0,HINDUNILVR.NS
2019-11-26 00:00:00+05:30,1916.9760456111858,1937.2257925718675,1892.1177810092079,1916.3709716796875,3188224,0.0,0.0,HINDUNILVR.NS
2019-11-27 00:00:00+05:30,1920.2812904478274,1955.0548587051271,1914.043482599443,1948.8636474609375,1259986,0.0,0.0,HINDUNILVR.NS
2019-11-28 00:00:00+05:30,1953.239173399822,1953.611718887832,1924.4240641499803,1943.18408203125,1026831,0.0,0.0,HINDUNILVR.NS
2019-11-29 00:00:00+05:30,1940.2515318915205,1940.7170432955252,1890.9073230670242,1894.9107666015625,1298616,0.0,0.0,HINDUNILVR.NS
2019-12-02 00:00:00+05:30,1897.4245957107864,1919.7691444335828,1889.2781456556004,1902.265869140625,1600494,0.0,0.0,HINDUNILVR.NS
2019-12-03 00:00:00+05:30,1900.217585033985,1911.483052131993,1880.805781870865,1888.533203125,1199012,0.0,0.0,HINDUNILVR.NS
2019-12-04 00:00:00+05:30,1887.1832619309425,1910.458832502365,1882.528147816658,1906.7347412109375,1046309,0.0,0.0,HINDUNILVR.NS
